1-Phosphatidylinositol 3-Kinase;D8.811.913.696.620.525;D8.811.913.696.620.500
Entomoplasmataceae;B3.440.560.112;B3.440.860.112
Enzyme Replacement Therapy;;E2.319.353.500
Ephedra;B1.650.388.400.344.222;B1.650.940.800.575.400.344.222
Ephedra sinica;B1.650.388.400.344.222.500;B1.650.940.800.575.400.344.222.500
Ephrin-A1;;D12.776.395.550.448.300
Ephrin-A1;;D12.776.543.484.500.300
Ephrin-A1;;D12.776.543.550.418.300
Ephrin-A2;;D12.776.395.550.448.310
Ephrin-A2;;D12.776.543.484.500.310
Ephrin-A2;;D12.776.543.550.418.310
Ephrin-A3;;D12.776.395.550.448.320
Ephrin-A3;;D12.776.543.484.500.320
Ephrin-A3;;D12.776.543.550.418.320
Ephrin-A4;;D12.776.395.550.448.330
Ephrin-A4;;D12.776.543.484.500.330
Ephrin-A4;;D12.776.543.550.418.330
Ephrin-A5;;D12.776.395.550.448.340
Ephrin-A5;;D12.776.543.484.500.340
Ephrin-A5;;D12.776.543.550.418.340
Epidermal Necrolysis, Toxic;C21.613.276.505.350;C25.723.276.505.350
Epilepsy, Post-Traumatic;C21.866.260.118.475;C26.260.118.475
Epilepsy, Post-Traumatic;C21.866.915.300.200.475;C26.915.300.200.475
Epilobium;B1.650.388.100.786.416;B1.650.940.800.575.100.786.416
Epimedium;B1.650.388.100.125.342;B1.650.940.800.575.100.125.342
Equisetum;B1.650.388.175;B1.650.940.800.575.175
Eragrostis;B1.650.388.100.822.355;B1.650.940.800.575.100.822.355
Eremophila Plant;B1.650.388.100.756.249;B1.650.940.800.575.100.756.249
Ergotism;C21.613.327;C25.723.327
Ergotism;C21.613.680.262;C25.723.680.262
Ergotism;C21.613.756.262;C25.723.756.262
Ericaceae;B1.650.388.100.343;B1.650.940.800.575.100.343
Erigeron;B1.650.388.100.100.342;B1.650.940.800.575.100.100.342
Eriobotrya;B1.650.388.100.842.500.222;B1.650.940.800.575.100.842.500.222
Eriocaulaceae;B1.650.388.100.344;B1.650.940.800.575.100.344
Eriodictyon;B1.650.388.100.531.500;B1.650.940.800.575.100.531.500
Eriogonum;B1.650.388.100.825.306;B1.650.940.800.575.100.825.306
Eryngium;B1.650.388.100.75.294;B1.650.940.800.575.100.75.294
Erysimum;B1.650.388.100.157.357;B1.650.940.800.575.100.157.357
Erythema Nodosum;C21.613.276.505.375;C25.723.276.505.375
Erythrina;B1.650.388.100.401.200;B1.650.940.800.575.100.401.200
Erythroxylaceae;B1.650.388.100.346;B1.650.940.800.575.100.346
Eschscholzia;B1.650.388.100.795.374;B1.650.940.800.575.100.795.374
Esophageal Perforation;C21.866.348;C26.348
Esophagoscopy;E1.370.372.250.260;E1.370.372.250.250.275
Esophagoscopy;E1.370.388.250.250.260;E1.370.388.250.250.250.260
Esophagoscopy;E4.210.240.260;E4.210.240.250.260
Esophagoscopy;E4.800.250.250.260;E4.800.250.250.250.260
Ethnopsychology;;F4.96.544.275
Eucalyptus;B1.650.388.100.773.366;B1.650.940.800.575.100.773.366
Eucommiaceae;B1.650.388.100.348;B1.650.940.800.575.100.348
Eugenia;B1.650.388.100.773.374;B1.650.940.800.575.100.773.374
Euonymus;B1.650.388.100.197.366;B1.650.940.800.575.100.197.366
Eupatorium;B1.650.388.100.100.347;B1.650.940.800.575.100.100.347
Euphorbia;B1.650.388.100.350.333;B1.650.940.800.575.100.350.333
Euphorbiaceae;B1.650.388.100.350;B1.650.940.800.575.100.350
Euphrasia;B1.650.388.100.892.366;B1.650.940.800.575.100.892.366
Eurycoma;B1.650.388.100.898.333;B1.650.940.800.575.100.898.333
Evodia;B1.650.388.100.875.333;B1.650.940.800.575.100.875.333
Evolution;G5.355.265;G5.355.44
Evolution;G16.100.275;G16.100.178
Evolution, Molecular;G5.355.265.250;G5.355.44.250
Evolution, Molecular;G16.100.275.250;G16.100.178.250
Excipients;D26.650.931.419;D26.650.700.419
Excipients;D27.720.744.931.419;D27.720.744.770.419
Extravasation of Diagnostic and Therapeutic Materials;C21.866.371;C26.371
Eye Burns;C21.866.200.503;C26.200.503
Eye Burns;C21.866.260.275.250.250;C26.260.275.250.250
Eye Foreign Bodies;C21.866.260.275.250.260;C26.260.275.250.260
Eye Foreign Bodies;C21.866.392.421;C26.392.421
Eye Injuries;C21.866.260.275.250;C26.260.275.250
Eye Injuries, Penetrating;C21.866.260.275.250.270;C26.260.275.250.270
Eye Injuries, Penetrating;C21.866.986.450;C26.986.450
Fabaceae;B1.650.388.100.401;B1.650.940.800.575.100.401
Facial Injuries;C21.866.260.275;C26.260.275
Facial Nerve Injuries;C21.866.260.237.325;C26.260.237.325
Facial Nerve Injuries;C21.866.915.300.400.300;C26.915.300.400.300
Fagaceae;B1.650.388.100.425;B1.650.940.800.575.100.425
Fagopyrum;B1.650.388.100.825.333;B1.650.940.800.575.100.825.333
Fagus;B1.650.388.100.425.249;B1.650.940.800.575.100.425.249
Family Planning Policy;N3.706.825.608.214;I1.655.500.608.200
Family Planning Policy;;N3.623.500.608.214
Family Practice;H2.403.280;H2.403.340.500
Farmer's Lung;C21.447.80.365;C24.80.365
Fat Emulsions, Intravenous;D10.212.302.450;D26.776.708.733.500
Fat Emulsions, Intravenous;;D27.720.280.775.733.500
Fatty Liver, Alcoholic;C21.739.100.87.645.390;C25.100.87.645.390
Favism;C21.613.415.341;C25.723.415.341
Favism;C21.613.756.375;C25.723.756.375
Feijoa;B1.650.388.100.773.522;B1.650.940.800.575.100.773.522
Femoral Fractures;C21.866.404.61;C26.404.61
Femoral Fractures;C21.866.558.276;C26.558.276
Femoral Neck Fractures;C21.866.404.61.425.500;C26.404.61.425.500
Femoral Neck Fractures;C21.866.558.276.425.500;C26.558.276.425.500
Fenoterol;D2.33.100.291.550.300;D2.33.100.291.465.300
Fenoterol;D2.92.63.291.550.300;D2.92.63.291.465.300
Fenoterol;D2.92.211.215.311.600.300;D2.92.211.215.311.465.300
Ferns;B1.650.388.250;B1.650.940.800.575.250
Ferric Compounds;D1.485.250;D1.490.100
Ferric Compounds;D1.632.340;D1.632.550.100
Ferric Compounds;D2.691.340;D2.691.550.100
Ferricyanides;D1.485.250.300;D1.490.100.300
Ferrocyanides;D1.485.275.250;D1.490.200.250
Ferrosoferric Oxide;D1.485.250.375;D1.490.100.375
Ferrosoferric Oxide;D1.485.275.350;D1.490.200.350
Ferrous Compounds;D1.485.275;D1.490.200
Ferrous Compounds;D1.632.350;D1.632.550.200
Ferrous Compounds;D2.691.350;D2.691.550.200
Ferula;B1.650.388.100.75.300;B1.650.940.800.575.100.75.300
Festuca;B1.650.388.100.822.427;B1.650.940.800.575.100.822.427
Fetal Alcohol Syndrome;C21.739.100.87.397;C25.100.87.397
Fibroblasts;A11.872.228;
Ficus;B1.650.388.100.750.500;B1.650.940.800.575.100.750.500
Filipendula;B1.650.388.100.842.500.244;B1.650.940.800.575.100.842.500.244
Finger Injuries;C21.866.448.429;C26.448.429
Flacourtiaceae;B1.650.388.100.437;B1.650.940.800.575.100.437
Flail Chest;C21.866.891.315;C26.891.315
Flaveria;B1.650.388.100.100.349;B1.650.940.800.575.100.100.349
Flax;B1.650.388.100.620.500;B1.650.940.800.575.100.620.500
Fleas;B1.50.500.131.617.364;B1.50.500.131.617.750
Fluoride Poisoning;C21.613.380;C25.723.380
Foeniculum;B1.650.388.100.75.333;B1.650.940.800.575.100.75.333
Fontan Procedure;;E4.100.376.724.500
Fontan Procedure;;E4.100.814.868.875.295
Fontan Procedure;;E4.928.220.560.500
Food Chain;G16.500.249.250;G16.500.275.157.250
Food Contamination;;N6.850.617.249
Food Contamination, Radioactive;;N6.850.617.249.250
Food Inspection;;N6.850.617.500
Food Microbiology;;N6.850.617.249.300
Food Parasitology;;N6.850.617.249.650
Foodborne Diseases;C21.613.415;C25.723.415
Foot Injuries;C21.866.558.300;C26.558.300
Forearm Injuries;C21.866.88.268;C26.88.268
Foreign Bodies;C21.866.392;C26.392
Foreign-Body Migration;C21.866.392.500;C26.392.500
Foreign-Body Reaction;C21.866.392.560;C26.392.560
Forsythia;B1.650.388.100.782.333;B1.650.940.800.575.100.782.333
Fourier Analysis;;G17.226
Fourier Analysis;;L1.224.800.625
Fractures, Bone;C21.866.404;C26.404
Fractures, Cartilage;C21.866.411;C26.411
Fractures, Closed;C21.866.404.124;C26.404.124
Fractures, Comminuted;C21.866.404.186;C26.404.186
Fractures, Compression;C21.866.404.195;C26.404.195
Fractures, Malunited;C21.866.404.249;C26.404.249
Fractures, Open;C21.866.404.311;C26.404.311
Fractures, Spontaneous;C21.866.404.374;C26.404.374
Fractures, Stress;C21.866.404.437;C26.404.437
Fractures, Ununited;C21.866.404.468;C26.404.468
Fragaria;B1.650.388.100.842.500.266;B1.650.940.800.575.100.842.500.266
Fragile X Syndrome;C16.131.260.800.300;C16.131.260.830.300
Fragile X Syndrome;C16.320.180.800.300;C16.320.180.830.300
Frangula;B1.650.388.100.840.316;B1.650.940.800.575.100.840.316
Frasier Syndrome;C12.706.445;C12.706.316.96.624
Frasier Syndrome;C13.351.875.420;C12.777.419.780.750.500.500
Frasier Syndrome;C16.131.939.445;C13.351.875.253.96.624
Frasier Syndrome;;C13.351.968.419.780.750.500.500
Frasier Syndrome;;C16.131.939.316.96.624
Frasier Syndrome;;C16.320.306
Frasier Syndrome;;C19.391.119.96.624
Fraxinus;B1.650.388.100.782.374;B1.650.940.800.575.100.782.374
Freemartinism;C13.351.875.842.260;C12.706.316.795.124
Freemartinism;C16.131.939.842.260;C13.351.875.253.795.124
Freemartinism;C19.391.775.260;C16.131.939.316.795.124
Freemartinism;;C19.391.119.795.124
Fritillaria;B1.650.388.100.610.313;B1.650.940.800.575.100.610.313
Frizzled Receptors;;D12.776.543.750.53
Frostbite;C21.866.417;C26.417
Frullania;B1.650.388.462.500;B1.650.940.800.575.462.500
Fucus;B1.40.50.212;B1.750.600.212
Fumaria;B1.650.388.100.443.750;B1.650.940.800.575.100.443.750
Fumariaceae;B1.650.388.100.443;B1.650.940.800.575.100.443
Fusion Proteins, bcr-abl;D12.776.624.100;D12.776.624.664.700.171.500
Galanthus;B1.650.388.100.610.350;B1.650.940.800.575.100.610.350
Galega;B1.650.388.100.401.250;B1.650.940.800.575.100.401.250
Galium;B1.650.388.100.850.377;B1.650.940.800.575.100.850.377
Galphimia;B1.650.388.100.690.355;B1.650.940.800.575.100.690.355
Garcinia;B1.650.388.100.928.249.333;B1.650.940.800.575.100.928.249.333
Garcinia cambogia;B1.650.388.100.928.249.333.200;B1.650.940.800.575.100.928.249.333.200
Garcinia kola;B1.650.388.100.928.249.333.400;B1.650.940.800.575.100.928.249.333.400
Garcinia mangostana;B1.650.388.100.928.249.333.600;B1.650.940.800.575.100.928.249.333.600
Gardenia;B1.650.388.100.850.388;B1.650.940.800.575.100.850.388
Garlic;B1.650.388.100.610.100.300;B1.650.940.800.575.100.610.100.300
Gas Poisoning;C21.613.455;C25.723.455
Gastric Lavage;E5.510.441;E5.927.441
Gastrodia;B1.650.388.100.787.500;B1.650.940.800.575.100.787.500
Gated Blood-Pool Imaging;E1.370.350.174.750;E1.370.350.130.500.750
Gated Blood-Pool Imaging;;E1.370.350.130.937.350
Gaultheria;B1.650.388.100.343.267;B1.650.940.800.575.100.343.267
Geigeria;B1.650.388.100.100.352;B1.650.940.800.575.100.100.352
Gelsemium;B1.650.388.100.638.500;B1.650.940.800.575.100.638.500
Gemfibrozil;D2.241.81.160.225.396;D2.241.81.160.700.500.750
Gemfibrozil;;D2.355.726.305.750
Gemfibrozil;;D2.755.654.305.750
Genetic Drift;G5.355.265.300;G5.355.44.300
Genetic Speciation;G5.355.265.350;G5.355.44.350
Genetic Speciation;G16.100.275.350;G16.100.178.350
Genista;B1.650.388.100.401.262;B1.650.940.800.575.100.401.262
Gentiana;B1.650.388.100.450.391;B1.650.940.800.575.100.450.391
Gentianaceae;B1.650.388.100.450;B1.650.940.800.575.100.450
Gentianella;B1.650.388.100.450.492;B1.650.940.800.575.100.450.492
Geraniaceae;B1.650.388.100.462;B1.650.940.800.575.100.462
Geranium;B1.650.388.100.462.500;B1.650.940.800.575.100.462.500
Germanium;;D1.268.513.750
Geum;B1.650.388.100.842.500.288;B1.650.940.800.575.100.842.500.288
Ginger;B1.650.388.100.975.900.444;B1.650.940.800.575.100.975.900.444
Ginkgo biloba;B1.650.388.400.300;B1.650.940.800.575.400.300
Gleditsia;B1.650.388.100.401.275;B1.650.940.800.575.100.401.275
Glial Cell Line-Derived Neurotrophic Factor Receptors;;D12.776.395.550.448.400
Glial Cell Line-Derived Neurotrophic Factor Receptors;;D12.776.543.484.500.400
Glial Cell Line-Derived Neurotrophic Factor Receptors;;D12.776.543.550.418.400
Gloves, Surgical;;E7.858.594.500
Glycyrrhiza;B1.650.388.100.401.300;B1.650.940.800.575.100.401.300
Glycyrrhiza uralensis;B1.650.388.100.401.300.500;B1.650.940.800.575.100.401.300.500
Glypicans;D12.776.395.550.432;D12.776.395.550.448.500
Glypicans;D12.776.543.550.412;D12.776.543.484.500.550
Glypicans;;D12.776.543.550.418.500
Gnaphalium;B1.650.388.100.100.355;B1.650.940.800.575.100.100.355
Gnetophyta;B1.650.388.400.344;B1.650.940.800.575.400.344
Gnetum;B1.650.388.400.344.333;B1.650.940.800.575.400.344.333
Gonadal Dysgenesis;C12.706.842.309;C12.706.316.309
Gonadal Dysgenesis;C13.351.875.842.309;C13.351.875.253.309
Gonadal Dysgenesis;C16.131.939.842.309;C16.131.939.316.309
Gonadal Dysgenesis;C19.391.775.309;C19.391.119.309
Gonadal Dysgenesis, 46,XX;C12.706.842.309.195;C12.706.316.64.249
Gonadal Dysgenesis, 46,XX;C13.351.875.842.309.193;C12.706.316.309.193
Gonadal Dysgenesis, 46,XX;C16.131.939.842.309.193;C13.351.875.253.64.249
Gonadal Dysgenesis, 46,XX;C19.391.775.309.193;C13.351.875.253.309.193
Gonadal Dysgenesis, 46,XX;;C16.131.939.316.64.249
Gonadal Dysgenesis, 46,XX;;C16.131.939.316.309.193
Gonadal Dysgenesis, 46,XX;;C19.391.119.64.249
Gonadal Dysgenesis, 46,XX;;C19.391.119.309.193
Gonadal Dysgenesis, 46,XY;C12.706.842.309.293;C12.706.316.96.687
Gonadal Dysgenesis, 46,XY;C13.351.875.842.309.388;C12.706.316.309.388
Gonadal Dysgenesis, 46,XY;C16.131.260.800.340;C13.351.875.253.96.687
Gonadal Dysgenesis, 46,XY;C16.131.939.842.309.388;C13.351.875.253.309.388
Gonadal Dysgenesis, 46,XY;C16.320.180.800.340;C16.131.939.316.96.687
Gonadal Dysgenesis, 46,XY;C19.391.775.309.388;C16.131.939.316.309.388
Gonadal Dysgenesis, 46,XY;;C19.391.119.96.687
Gonadal Dysgenesis, 46,XY;;C19.391.119.309.388
Gonadal Dysgenesis, Mixed;C12.706.842.309.391;C12.706.316.309.391
Gonadal Dysgenesis, Mixed;C13.351.875.842.309.391;C12.706.316.795.249
Gonadal Dysgenesis, Mixed;C16.131.260.800.345;C13.351.875.253.309.391
Gonadal Dysgenesis, Mixed;C16.131.939.842.309.391;C13.351.875.253.795.249
Gonadal Dysgenesis, Mixed;C16.320.180.800.345;C16.131.260.830.835.249
Gonadal Dysgenesis, Mixed;C19.391.775.309.391;C16.131.939.316.309.391
Gonadal Dysgenesis, Mixed;;C16.131.939.316.795.249
Gonadal Dysgenesis, Mixed;;C16.320.180.830.835.249
Gonadal Dysgenesis, Mixed;;C19.391.119.309.391
Gonadal Dysgenesis, Mixed;;C19.391.119.795.249
Gonadoblastoma;;C12.706.316.96.687.500
Gonadoblastoma;;C12.706.316.309.388.500
Gonadoblastoma;;C13.351.875.253.96.687.500
Gonadoblastoma;;C13.351.875.253.309.388.500
Gonadoblastoma;;C16.131.939.316.96.687.500
Gonadoblastoma;;C16.131.939.316.309.388.500
Gonadoblastoma;;C19.391.119.96.687.500
Gonadoblastoma;;C19.391.119.309.388.500
Goniothalamus;B1.650.388.100.65.812;B1.650.940.800.575.100.65.812
Gossypium;B1.650.388.100.700.244;B1.650.940.800.575.100.700.244
Gracilaria;B1.40.100.325;B1.650.700.325
Granuloma, Foreign-Body;C21.866.392.560.325;C26.392.560.325
Grewia;B1.650.388.100.938.333;B1.650.940.800.575.100.938.333
Griffonia;B1.650.388.100.401.318;B1.650.940.800.575.100.401.318
Grindelia;B1.650.388.100.100.356;B1.650.940.800.575.100.100.356
Grossulariaceae;B1.650.388.100.842.311;B1.650.940.800.575.100.842.311
Guaiacol;D2.755.75.536;D2.755.654.453
Guaiacum;B1.650.388.100.987.277;B1.650.940.800.575.100.987.277
Guaifenesin;D2.755.75.536.400;D2.755.654.453.400
Guatteria;B1.650.388.100.65.875;B1.650.940.800.575.100.65.875
Gymnema;B1.650.388.100.99.222;B1.650.940.800.575.100.99.222
Gymnema sylvestre;B1.650.388.100.99.222.500;B1.650.940.800.575.100.99.222.500
Gymnosperms;B1.650.388.400;B1.650.940.800.575.400
Gynostemma;B1.650.388.100.300.444;B1.650.940.800.575.100.300.444
Halogenated Diphenyl Ethers;;D2.755.654.601
Hamamelidaceae;B1.650.388.100.475;B1.650.940.800.575.100.475
Hamamelis;B1.650.388.100.475.500;B1.650.940.800.575.100.475.500
Hamelia;B1.650.388.100.850.404;B1.650.940.800.575.100.850.404
Hand Injuries;C21.866.448;C26.448
Hand-Arm Vibration Syndrome;C21.447.400;C24.400
Haplopappus;B1.650.388.100.100.358;B1.650.940.800.575.100.100.358
Harpagophytum;B1.650.388.100.806.500;B1.650.940.800.575.100.806.500
Head Injuries, Closed;C21.866.260.382;C26.260.382
Head Injuries, Closed;C21.866.915.300.450;C26.915.300.450
Head Injuries, Closed;C21.866.974.382;C26.974.382
Head Injuries, Penetrating;C21.866.260.538;C26.260.538
Head Injuries, Penetrating;C21.866.915.300.475;C26.915.300.475
Head Injuries, Penetrating;C21.866.986.500;C26.986.500
Health Care Reform;N3.706.825.608.428.285;I1.655.500.608.400.285
Health Care Reform;;N3.623.500.608.428.285
Health Policy;N3.706.825.608.428;I1.655.500.608.400
Health Policy;;N3.623.500.608.428
Health Services Research;;H1.770.644.145.360
Heart Bypass, Right;;E4.100.814.868.875
Heart Injuries;C21.866.891.375;C26.891.375
Heat Exhaustion;C21.866.522.250;C26.522.250
Heat Stress Disorders;C21.866.522;C26.522
Heat Stroke;C21.866.522.500;C26.522.500
Hedeoma;B1.650.388.100.575.231;B1.650.940.800.575.100.575.231
Hedera;B1.650.388.100.87.412;B1.650.940.800.575.100.87.412
Hedyotis;B1.650.388.100.850.422;B1.650.940.800.575.100.850.422
Helianthus;B1.650.388.100.100.400;B1.650.940.800.575.100.100.400
Helichrysum;B1.650.388.100.100.425;B1.650.940.800.575.100.100.425
Heliconiaceae;B1.650.388.100.975.323;B1.650.940.800.575.100.975.323
Heliotropium;B1.650.388.100.150.444;B1.650.940.800.575.100.150.444
Helleborus;B1.650.388.100.838.337;B1.650.940.800.575.100.838.337
Hemangioma, Cavernous;C15.378.463.835.385;C15.378.463.515.385
Hemangioma, Cavernous, Central Nervous System;C15.378.463.835.385.500;C15.378.463.515.385.500
Hematoma, Epidural, Cranial;C21.866.260.616.300;C26.260.616.300
Hematoma, Epidural, Cranial;C21.866.915.300.490.400;C26.915.300.490.400
Hematoma, Subdural;C21.866.260.616.600;C26.260.616.600
Hematoma, Subdural;C21.866.915.300.490.450;C26.915.300.490.450
Hematoma, Subdural, Acute;C21.866.260.616.600.50;C26.260.616.600.50
Hematoma, Subdural, Acute;C21.866.915.300.490.450.50;C26.915.300.490.450.50
Hematoma, Subdural, Chronic;C21.866.260.616.600.120;C26.260.616.600.120
Hematoma, Subdural, Chronic;C21.866.915.300.490.450.120;C26.915.300.490.450.120
Hematoma, Subdural, Intracranial;C21.866.260.616.600.400;C26.260.616.600.400
Hematoma, Subdural, Intracranial;C21.866.915.300.490.450.400;C26.915.300.490.450.400
Hemerocallis;B1.650.388.100.610.387;B1.650.940.800.575.100.610.387
Hemidesmus;B1.650.388.100.99.249;B1.650.940.800.575.100.99.249
Hemlock;B1.650.388.100.75.388;B1.650.940.800.575.100.75.388
Hemostatic Disorders;C15.378.463.835;C15.378.463.515
Heparin Cofactor II;D12.644.822.750.60.380;D12.644.822.750.60.750
Heparin Cofactor II;D12.644.861.60.380;D12.644.861.60.750
Heparin Cofactor II;D12.776.645.750.60.380;D12.776.645.750.60.750
Heparin Cofactor II;D12.776.872.60.380;D12.776.872.60.750
Hepatitis, Alcoholic;C21.739.100.87.645.490;C25.100.87.645.490
Hepatophyta;B1.650.388.462;B1.650.940.800.575.462
Heracleum;B1.650.388.100.75.411;B1.650.940.800.575.100.75.411
Hereditary Central Nervous System Demyelinating Diseases;;C10.228.140.163.100.362
Hereditary Central Nervous System Demyelinating Diseases;;C10.228.140.695.625
Hereditary Central Nervous System Demyelinating Diseases;;C10.228.518.625
Hereditary Central Nervous System Demyelinating Diseases;;C16.320.565.189.362
Hereditary Central Nervous System Demyelinating Diseases;;C18.452.132.100.362
Hereditary Central Nervous System Demyelinating Diseases;;C18.452.648.189.362
Hermaphroditism, True;C12.706.842.316.313;C12.706.316.343
Hermaphroditism, True;C13.351.875.842.316.313;C13.351.875.253.343
Hermaphroditism, True;C16.131.939.842.316.313;C16.131.939.316.343
Hermaphroditism, True;C19.391.775.316.313;C19.391.119.343
Hernandiaceae;B1.650.388.100.489;B1.650.940.800.575.100.489
Hernia;C23.300.842.500.374;
Hernia, Diaphragmatic, Traumatic;C21.866.17.258;C26.17.258
Heroin Dependence;C21.739.675.400;C25.675.400
Heuchera;B1.650.388.100.842.750.500;B1.650.940.800.575.100.842.750.500
Hevea;B1.650.388.100.350.399;B1.650.940.800.575.100.350.399
Hibiscus;B1.650.388.100.700.288;B1.650.940.800.575.100.700.288
High Pressure Neurological Syndrome;C21.447.410;C24.410
High-Frequency Jet Ventilation;;E2.41.625.508.510
High-Frequency Ventilation;;E2.41.625.508
Hip Dislocation;C21.866.289.384;C26.289.384
Hip Dislocation;C21.866.531.500;C26.531.500
Hip Fractures;C21.866.404.61.425;C26.404.61.425
Hip Fractures;C21.866.404.484;C26.404.484
Hip Fractures;C21.866.531.750;C26.531.750
Hip Fractures;C21.866.558.276.425;C26.558.276.425
Hip Injuries;C21.866.531;C26.531
Hippocastanaceae;B1.650.388.100.503;B1.650.940.800.575.100.503
Hippocrateaceae;B1.650.388.100.517;B1.650.940.800.575.100.517
Hippomane;B1.650.388.100.350.461;B1.650.940.800.575.100.350.461
Hippophae;B1.650.388.100.336.500;B1.650.940.800.575.100.336.500
Hirudins;D12.644.822.750.60.690;D12.644.822.750.60.875
Hirudins;D12.644.861.60.690;D12.644.861.60.875
Hirudins;D12.776.645.750.60.690;D12.776.645.750.60.875
Hirudins;D12.776.872.60.690;D12.776.872.60.875
Holarrhena;B1.650.388.100.81.346;B1.650.940.800.575.100.81.346
Holcus;B1.650.388.100.822.463;B1.650.940.800.575.100.822.463
Hordeum;B1.650.388.100.822.481;B1.650.940.800.575.100.822.481
Hospital Administration;;N2.278.216.500
Hospitals, Animal;;N2.278.421.280
Hospitals, Military;;J1.86.339.445.500
Hosta;B1.650.388.100.610.406;B1.650.940.800.575.100.610.406
Houttuynia;B1.650.388.100.888.500;B1.650.940.800.575.100.888.500
Huckleberry Plant;B1.650.388.100.343.774.500;B1.650.940.800.575.100.343.774.500
Human Experimentation;;H1.770.644.145.365
Human Experimentation;;H1.770.644.302
Humeral Fractures;C21.866.88.390;C26.88.390
Humeral Fractures;C21.866.404.500;C26.404.500
Humulus;B1.650.388.100.175.750;B1.650.940.800.575.100.175.750
Huperzia;B1.650.388.525.333;B1.650.940.800.575.525.333
Hyacinthus;B1.650.388.100.610.415;B1.650.940.800.575.100.610.415
Hydrangea;B1.650.388.100.842.374.500;B1.650.940.800.575.100.842.374.500
Hydrangeaceae;B1.650.388.100.842.374;B1.650.940.800.575.100.842.374
Hydrastis;B1.650.388.100.838.397;B1.650.940.800.575.100.838.397
Hydrocephalus;C16.614.414;
Hydrocharitaceae;B1.650.388.100.25.399;B1.650.940.800.575.100.25.399
Hydrophyllaceae;B1.650.388.100.531;B1.650.940.800.575.100.531
Hydroxymethylglutaryl-CoA Reductase Inhibitors;D27.505.954.230.202.370;D27.505.954.557.500.202.370
Hymenaea;B1.650.388.100.401.327;B1.650.940.800.575.100.401.327
Hyoscyamus;B1.650.388.100.905.274;B1.650.940.800.575.100.905.274
Hyperandrogenism;C19.391.775.370;C12.706.316.64.500
Hyperandrogenism;;C12.706.316.129.750
Hyperandrogenism;;C13.351.875.253.64.500
Hyperandrogenism;;C13.351.875.253.129.750
Hyperandrogenism;;C16.131.939.316.64.500
Hyperandrogenism;;C16.131.939.316.129.750
Hyperandrogenism;;C19.391.119.64.500
Hyperandrogenism;;C19.391.119.129.750
Hypericum;B1.650.388.100.928.249.500;B1.650.940.800.575.100.928.249.500
Hyperlipoproteinemia Type V;;C18.452.584.500.500.851.750
Hypoxis;B1.650.388.100.610.425;B1.650.940.800.575.100.610.425
Hyptis;B1.650.388.100.575.297;B1.650.940.800.575.100.575.297
Ilex;B1.650.388.100.84.500;B1.650.940.800.575.100.84.500
Ilex guayusa;B1.650.388.100.84.500.500;B1.650.940.800.575.100.84.500.500
Ilex paraguariensis;B1.650.388.100.84.500.750;B1.650.940.800.575.100.84.500.750
Ilex vomitoria;B1.650.388.100.84.500.875;B1.650.940.800.575.100.84.500.875
Illicium;B1.650.388.100.539;B1.650.940.800.575.100.539
Immunity, Innate;G12.450.575;G12.450.564
Immunoglobulin Fab Fragments;;D12.644.541.500.650
Immunoglobulin Fc Fragments;;D12.644.541.500.697
Immunoglobulin Fragments;;D12.644.541.500
Immunoglobulin Idiotypes;;D12.644.541.500.745
Immunoglobulin Joining Region;;D12.644.541.500.650.500.590
Immunoglobulin Variable Region;;D12.644.541.500.650.500
Impatiens;B1.650.388.100.112.500;B1.650.940.800.575.100.112.500
Indigofera;B1.650.388.100.401.337;B1.650.940.800.575.100.401.337
Inert Gas Narcosis;C21.447.426;C24.426
Inert Gas Narcosis;C21.613.455.571;C25.723.455.571
Insect Bites and Stings;C21.613.127.441;C25.723.127.441
Instruction;;V1.255.500.500
Integration Host Factors;;D23.297.500
Interactive Tutorial;V2.600.500.500;V1.255.500.625
Intermittent Positive-Pressure Breathing;;E2.41.625.790.520
Intermittent Positive-Pressure Ventilation;;E2.41.625.790.550
Internal Mammary-Coronary Artery Anastomosis;;E4.100.814.868.750.400
Intervertebral Disk Displacement;;C23.300.707.952
Intra-Articular Fractures;C21.866.404.505;C26.404.505
Intracranial Hemorrhage, Traumatic;C21.866.260.616;C26.260.616
Intracranial Hemorrhage, Traumatic;C21.866.915.300.490;C26.915.300.490
Intraoperative Care;E2.760.722.400;E2.760.731.400
Intraoperative Care;E4.365;E4.604.249
Intraoperative Period;E4.375;E4.614.374
Intraoperative Period;;N2.421.585.753.374
Intrauterine Device Expulsion;E5.325.385;E5.325.578.500
Intrauterine Device Expulsion;E7.190.250.520.259;
Intubation, Intratracheal;;E2.41.500
Inula;B1.650.388.100.100.471;B1.650.940.800.575.100.100.471
Ipomoea;B1.650.388.100.238.500;B1.650.940.800.575.100.238.500
Ipomoea batatas;B1.650.388.100.238.500.500;B1.650.940.800.575.100.238.500.500
Ipomoea nil;B1.650.388.100.238.500.750;B1.650.940.800.575.100.238.500.750
Iridaceae;B1.650.388.100.549;B1.650.940.800.575.100.549
Iris Plant;B1.650.388.100.549.750;B1.650.940.800.575.100.549.750
Iron Carbonyl Compounds;D1.485.300;D1.490.500
Iron Carbonyl Compounds;;D1.632.550.500
Iron Carbonyl Compounds;;D2.691.550.500
Iron, Dietary;D1.485.325;D1.490.600
Iron, Dietary;;D1.632.550.600
